Branch Name,City,District,State / UN,Zone,Pincode,Location type PL
Cenotoph Road,Chennai ,Chennai,Tamil Nadu,South,600018,Type A PL
Shobha Pearl,Bangalore,Bangalore Urban,Karnataka,South,560001,Type A PL
Vadodara,Vadodara,Vadodara,Gujarat,West,390007,Type A PL
Nariman Point,Mumbai,Mumbai,Maharashtra,West,400021,Type A PL
Bund Garden,Pune,Pune,Maharashtra,West,411001,Type A PL
R.N. Mukherjee Rd. ,Kolkata,Kolkata,West Bengal,East,700001,Type A PL
Connaught Place,New Delhi,Delhi,Delhi,North,110001,Type A PL
Khairatabad,Hyderabad,Hyderabad,Telangana,South,500004,Type A PL
Nungambakkam,Chennai ,Chennai,Tamil Nadu,South,600034,Type A PL
Ernakulam,Kochi,Ernakulam,Kerala,South,682035,Type A PL
Andheri,Mumbai,Mumbai,Maharashtra,West,400058,Type A PL
Jaipur,Jaipur,Jaipur,Rajasthan,North,302001,Type A PL
Chandigarh,Chandigarh,Chandigarh,Chandigarh,North,160017,Type A PL
Mangalore Main,Mangalore,Dakshin Kannad,Karnataka,South,575001,Type A PL
Panaji,Panaji,North Goa,Goa,West,403001,Type A PL
Trichy Road,Coimbatore,Coimbatore,Tamil Nadu,South,641018,Type A PL
Ludhiana,Ludhiana,Ludhiana,Punjab,North,141001,Type A PL
Borivali,Mumbai,Mumbai,Maharashtra,West,400092,Type A PL
Mira Road,Mira Bhayander,Thane,Maharashtra,West,401104,Type A PL
Powai,Mumbai,Mumbai,Maharashtra,West,400076,Type A PL
Gurgaon  ,Gurgaon,Gurgaon,Haryana,North,122001,Type A PL
Vasai,Vasai,Thane,Maharashtra,West,401202,Type A PL
Margao,Margao,South Goa,Goa,West,403601,Type A PL
Ambawadi,Ahmedabad,Ahmedabad,Gujarat,West,380006,Type A PL
Gobichettipalayam,Gobichettipalayam,Erode,Tamil Nadu,South,638452,Type A PL
Ghatkopar,Mumbai,Mumbai,Maharashtra,West,400077,Type A PL
Nashik,Nashik,Nasik,Maharashtra,West,422002,Type A PL
Bhayander,Mira Bhayander,Thane,Maharashtra,West,401101,Type A PL
Greater Kailash,New Delhi,Delhi,Delhi,North,110048,Type A PL
"Mapusa, Bardez",Mapusa,North Goa,Goa,West,403507,Type A PL
Noida  ,Noida,Gautam Buddha Nagar,Uttar Pradesh,North,201301,Type A PL
Dadar,Mumbai,Mumbai,Maharashtra,West,400014,Type A PL
Pricol,Perianaickenpalayam,Coimbatore,Tamil Nadu,South,641020,Type A PL
Ballygunge,Kolkata,Kolkata,West Bengal,East,700019,Type A PL
"Glen Morgan, Thane",Thane,Thane,Maharashtra,West,400602,Type A PL
"I-Serv, Mumbai",Mumbai,Mumbai,Maharashtra,West,400008,Type A PL
Preet Vihar,New Delhi,Delhi,Delhi,North,110092,Type A PL
Bandra,Mumbai,Mumbai,Maharashtra,West,400050,Type A PL
Shivajinagar,Pune,Pune,Maharashtra,West,411005,Type A PL
"Madhapur, Hyderabad",Hyderabad,Hyderabad,Telangana,South,500033,Type A PL
Indore,Indore,Indore,Madhya Pradesh,West,452008,Type A PL
Salt Lake City,Kolkata,Kolkata,West Bengal,East,700091,Type A PL
Panchkula,Panchkula Urban Estate,Panchkula,Haryana,North,134109,Type A PL
Aurangabad,Aurangabad,Aurangabad,Maharashtra,West,431001,Type A PL
"Madhuban, Udaipur",Udaipur,Udaipur,Rajasthan,North,313001,Type A PL
New Friends Colony,New Delhi,Delhi,Delhi,North,110065,Type A PL
Koramangala,Bangalore,Bangalore Urban,Karnataka,South,560095,Type A PL
"S.D. Road, Secunderabad ",Hyderabad,Hyderabad,Telangana,South,500003,Type A PL
Dahanu,Dahanu,Thane,Maharashtra,West,401602,Type A PL
Moti Kavdi,Moti Kavdi,Jamnagar,Gujarat,West,361140,Type A PL
"Athwa Lines, Surat",Surat,Surat,Gujarat,West,395007,Type A PL
Jayanagar,Bangalore,Bangalore Urban,Karnataka,South,560011,Type A PL
Nanganallur,Chennai ,Chennai,Tamil Nadu,South,600061,Type A PL
Bhopal,Bhopal,Bhopal,Madhya Pradesh,West,462011,Type A PL
Mission Street,Pondicherry,Pondicherry,Pondicherry,South,605001,Type A PL
Prabhadevi,Mumbai,Mumbai,Maharashtra,West,400025,Type A PL
Mohali,Mohali (Sas Nagar),Rupnagar,Punjab,North,160059,Type A PL
Nagpur,Nagpur,Nagpur,Maharashtra,West,440001,Type A PL
"Dwarkanagar, Visakapatnam",Visakhapatnam,Visakhapatnam,Andhra Pradesh,South,530016,Type A PL
Bhubaneshwar,Bhubaneshwar,Khurda,Orissa,East,751001,Type A PL
Palghar,Palghar,Thane,Maharashtra,West,401404,Type A PL
Boisar,Boisar,Thane,Maharashtra,West,401501,Type B PL
Drive-In-Road,Bodakdev,Ahmedabad,Gujarat,West,380054,Type A PL
"Vasant Vihar, New Delhi",New Delhi,Delhi,Delhi,North,110057,Type A PL
Amritsar,Amritsar,Amritsar,Punjab,North,143001,Type A PL
Jodhpurgam,Jodhpurgam,Ahmedabad,Gujarat,West,380015,Type A PL
"Halar Road, Valsad",Valsad,Valsad,Gujarat,West,396001,Type A PL
Habsiguda,Hyderabad,Rangareddy,Telangana,South,500076,Type A PL
Green Park,New Delhi,Delhi,Delhi,North,110016,Type A PL
Manipal,Manipal,Udipi,Karnataka,South,576119,Type A PL
Aundh,Pune,Pune,Maharashtra,West,411008,Type A PL
Kondhwa,Pune,Pune,Maharashtra,West,411048,Type A PL
Sanjeeva Reddy Nagar,Hyderabad,Hyderabad,Telangana,South,500038,Type A PL
Jubilee Hills,Hyderabad,Hyderabad,Telangana,South,500033,Type A PL
"K K Nagar, Chennai",Chennai ,Chennai,Tamil Nadu,South,600078,Type A PL
Malleshwaram,Bangalore,Bangalore Urban,Karnataka,South,560003,Type A PL
Nurmahal,Nurmahal,Jalandhar,Punjab,North,144309,Type A PL
Nakodar,Nakodar,Jalandhar,Punjab,North,144040,Type A PL
Nawanshahar,Nawanshahar,Nawanshahr,Punjab,North,144514,Type A PL
Jalandhar,Jalandhar,Jalandhar,Punjab,North,144001,Type A PL
Faridabad,Faridabad,Faridabad,Haryana,North,121007,Type A PL
Bidadi,Ramanagaram,Ramanagar,Karnataka,South,562109,Type A PL
Vallabh Vidya Nagar,Vallabh Vidya Nagar,Anand,Gujarat,West,388120,Type A PL
Bhuj,Bhuj,Kachchh,Gujarat,West,370001,Type B PL
"Mahatta Tower, Janakpuri",New Delhi,Delhi,Delhi,North,110058,Type A PL
Dombivali,Dombivali,Thane,Maharashtra,West,421203,Type A PL
Jamshedpur,Jamshedpur,Purbi Singhbhum,Jharkhand,East,831001,Type A PL
Vashi,Navi Mumbai,Thane,Maharashtra,West,400703,Type A PL
Mysore,Mysore,Mysore,Karnataka,South,570002,Type A PL
Rajkot,Rajkot,Rajkot,Gujarat,West,360001,Type A PL
Pitampura,New Delhi,Delhi,Delhi,North,110034,Type A PL
Punjabi Bagh,New Delhi,Delhi,Delhi,North,110026,Type A PL
Hosur,Hosur,Krishnagiri,Tamil Nadu,South,635109,Type A PL
Hubli,Hubli,Dharwad,Karnataka,South,580023,Type A PL
Malad,Mumbai,Mumbai,Maharashtra,West,400064,Type A PL
"Vijayanagar, Bangalore",Bangalore,Bangalore Urban,Karnataka,South,560040,Type A PL
Model Town- Iii,New Delhi,Delhi,Delhi,North,110009,Type A PL
Raipur,Raipur,Raipur,Chhattisgarh,East,492001,Type A PL
"Prem Heights, Patiala",Patiala,Patiala,Punjab,North,147001,Type A PL
Bathinda,Bhatinda,Bhatinda,Punjab,North,151001,Type A PL
Dehradun,Dehradun,Dehradun,Uttaranchal,North,248001,Type A PL
Gandhinagar,"Gandhinagar, Gujarat",Gandhinagar,Gujarat,West,328016,Type A PL
Kolhapur,Kolhapur,Kolhapur,Maharashtra,West,416001,Type A PL
Jodhpur,Jodhpur,Jodhpur,Rajasthan,North,342003,Type A PL
"Ashok Plaza, Rohtak",Rohtak,Rohtak,Haryana,North,124001,Type A PL
Indiranagar,Bangalore,Bangalore Urban,Karnataka,South,560038,Type A PL
Dharwad,Dharwad,Dharwad,Karnataka,South,580001,Type A PL
Saket,New Delhi,Delhi,Delhi,North,110017,Type A PL
Hissar,Hissar,Hissar,Haryana,North,125001,Type A PL
Karnal ,Karnal,Karnal,Haryana,North,132001,Type A PL
Panipat,Panipat,Panipat,Haryana,North,132103,Type A PL
Main Road - Ranchi,Ranchi,Ranchi,Jharkhand,East,834001,Type A PL
Belgaum ,Belgaum,Belgaum,Karnataka,South,590006,Type A PL
"Dlf, Gurgaon",Gurgaon,Gurgaon,Haryana,North,122002,Type A PL
"Panch Batti,Bharuch",Bharuch,Bharuch,Gujarat,West,392001,Type A PL
 Vapi,Vapi,Valsad,Gujarat,West,396195,Type A PL
Thrissur (Relocation Of Varkala),Thrissur,Thrissur,Kerala,South,680001,Type A PL
Kannur (Relocation Of Chengannur),Kannur,Kannur,Kerala,South,670002,Type A PL
Nashik Road Br.,Nashik,Nasik,Maharashtra,West,422101,Type A PL
Begumpet,Hyderabad,Hyderabad,Telangana,South,500016,Type A PL
Kota,Kota,Kota,Rajasthan,North,324007,Type A PL
Ajmer,Ajmer,Ajmer,Rajasthan,North,305001,Type A PL
Bhilai ,Bhillai,Durg,Chhattisgarh,East,490020,Type A PL
Durgapur,Durgapur,Barddhaman,West Bengal,East,713216,Type A PL
Ahmedabad,Ahmedabad,Ahmedabad,Gujarat,West,380009,Type A PL
Moradabad,Moradabad,Moradabad,Uttar Pradesh,North,244001,Negative Location
Saharanpur,Saharanpur,Saharanpur,Uttar Pradesh,North,247001,Type B PL
Bareilly,Bareilly,Bareilly,Uttar Pradesh,North,243001,Type A PL
Surat,Surat,Surat,Gujarat,West,395009,Type A PL
Sambalpur,Sambalpur,Sambalpur,Orissa,East,768004,Type A PL
 Rourkela,Raurkela,Sundergarh,Orissa,East,769011,Type A PL
Dhanbad,Dhanbad,Dhanbad,Jharkhand,East,826001,Type A PL
Gwalior,Gwalior,Gwalior,Madhya Pradesh,West,474011,Type A PL
"Napier Town, Jabalpur",Jabalpur,Jabalpur,Madhya Pradesh,West,482001,Type A PL
Solapur,Solapur,Solapur,Maharashtra,West,413003,Type A PL
Warangal,Warangal,Warangal,Telangana,South,506001,Type A PL
"Punjagutta, Hyderabad",Hyderabad,Hyderabad,Telangana,South,500048,Type A PL
Kalyan,Kalyan Dombivali,Thane,Maharashtra,West,421301,Type A PL
"R.T. Nagar, Bangalore",Bangalore,Bangalore Urban,Karnataka,South,560094,Type A PL
Jamnagar,Jamnagar,Jamnagar,Gujarat,West,361008,Type A PL
Navsari,Navsari,Navsari,Gujarat,West,396445,Type A PL
Porbandar,Porbandar,Porbandar,Gujarat,West,360575,Negative Location
Siliguri,Siliguri,Darjiling,West Bengal,East,734401,Type A PL
Santacruz (West),Mumbai,Mumbai,Maharashtra,West,400054,Type A PL
Ponda,Ponda,North Goa,Goa,West,403104,Type A PL
Vile Parle,Mumbai,Mumbai,Maharashtra,West,400057,Type A PL
"R A Puram, Chennai",Chennai ,Chennai,Tamil Nadu,South,600028,Type A PL
Dhuliajaan ,Dhuliajaan,Dibrugarh,Assam,East,786602,Type B PL
Gomti Nagar - Lucknow,Lucknow,Lucknow,Uttar Pradesh,North,226010,Type A PL
"Thittamel, Chenganur",Chenganur,Alapuzha,Kerala,South,689121,Type A PL
Pathanamthitta,Pathanamthitta,Pathanamthitta,Kerala,South,689645,Type A PL
Irinjalakuda,Irinjalakuda,Thrissur,Kerala,South,680125,Type B PL
Perinthalmanna,Perinthalmanna,Malappuram,Kerala,South,679322,Type A PL
Tirur,Tirur,Malappuram,Kerala,South,676101,Type A PL
Kasargode,Kasargode,Kasaragod,Kerala,South,671121,Type A PL
Vadakara,Vadakara,Kozhikode,Kerala,South,673101,Type A PL
"Court Road, Manjeri",Manjeri,Malappuram,Kerala,South,676121,Type B PL
Muvattupuzha,Muvattupuzha,Ernakulam,Kerala,South,686673,Negative Location
Panchsheel Park,New Delhi,Delhi,Delhi,North,110017,Type A PL
Lajpat Nagar,New Delhi,Delhi,Delhi,North,110024,Type A PL
Vasco Da  Gama,Vasco Da  Gama,South Goa,Goa,West,403802,Type A PL
Delhi University,New Delhi,Delhi,Delhi,North,110007,Type A PL
Apmc Market - Navi Mumbai,Navi Mumbai,Thane,Maharashtra,West,400703,Type A PL
"Technopolis, Sector 5, Bidhannagar",Bidhan Nagar,North 24 Parganas,West Bengal,East,700091,Type A PL
Safal Market (Rmag) - Bangalore,"Khajisonenahalli, Bangalore",Bangalore Urban,Karnataka,South,560067,Type A PL
"Ca Road, Nagpur",Nagpur,Nagpur,Maharashtra,West,440008,Type A PL
"Alwarthirunagar, Chennai",Chennai ,Chennai ,Tamil Nadu,South,600087,Type A PL
Ambala,Ambala,Ambala,Haryana,North,134002,Type A PL
Bikaner,Bikaner,Bikaner,Rajasthan,North,334001,Type A PL
"Vaishali Nagar, Jaipur",Jaipur,Jaipur,Rajasthan,North,302021,Type A PL
Hoshiarpur Br.,Hoshiarpur,Hoshiarpur,Punjab,North,146001,Type A PL
Moga,Moga,Moga,Punjab,North,142001,Type B PL
Hall Bazaar,Amritsar,Amritsar,Punjab,North,143001,Type A PL
Haridwar Branch,Haridwar,Haridwar,Uttaranchal,North,249407,Type A PL
Haldwani Branch,Haldwani,Nainital,Uttaranchal,North,263139,Type A PL
"Ashok Nagar, Indore",Indore,Indore,Madhya Pradesh,West,452007,Type A PL
Nayapul X Road,Hyderabad,Hyderabad,Telangana,South,500002,Type A PL
Dilsukhnagar,Hyderabad,Hyderabad,Telangana,South,500060,Type A PL
A. S. Rao Nagar,Hyderabad,Hyderabad,Telangana,South,500009,Type A PL
Mehdipatnam,Hyderabad,Hyderabad,Telangana,South,500028,Type A PL
Bhilwara,Bhilwara,Bhilwara,Rajasthan,North,311001,Type A PL
Yamuna Nagar,Yamuna Nagar,Yamunanagar,Haryana,North,135001,Type A PL
"Karelibaug, Baroda",Vadodara,Vadodara,Gujarat,West,390018,Type A PL
Jhansi,Jhansi,Jhansi,Uttar Pradesh,North,284001,Type B PL
Dwarka,New Delhi,Delhi,Delhi,North,110075,Type A PL
Jayanagar -  7Th Block,Bangalore,Bangalore Urban,Karnataka,South,560082,Type A PL
Frazer Town,Bangalore,Bangalore Urban,Karnataka,South,560005,Type A PL
"Sector - 61, Noida",Noida,Gautam Buddha Nagar,Uttar Pradesh,North,201307,Type A PL
Greater Noida,Noida,Gautam Buddha Nagar,Uttar Pradesh,North,201306,Type A PL
Sahibabad,Sahibabad,Ghaziabad,Uttar Pradesh,North,201010,Type A PL
Anand ,Anand,Anand,Gujarat,West,388001,Type A PL
Mehsana,Mehsana,Mahesana,Gujarat,West,384002,Type A PL
Ankleshwar,Ankleshwar,Bharuch,Gujarat,West,393002,Type A PL
Gandhidham,Gandhidham,Kachchh,Gujarat,West,370201,Type A PL
Nadiad ,Nadiad,Kheda,Gujarat,West,387001,Type A PL
Zaveri Bazaar Branch,Mumbai,Mumbai,Maharashtra,West,400002,Type A PL
Pallakad,Palakkad,Palakkad,Kerala,South,678001,Type A PL
"Lokhandwala, Mumbai",Mumbai,Mumbai,Maharashtra,West,400053,Type A PL
Burdwan,Burdwan,Barddhaman,West Bengal,East,713101,Type A PL
Bokaro Steel City,Bokaro Steel City,Bokaro,Jharkhand,East,827004,Type B PL
Jammu,Jammu,Jammu,Jammu & Kashmir,North,180001,Type A PL
Kandivali (E),Mumbai,Mumbai,Maharashtra,West,400101,Type A PL
Vartak Nagar - Thane,Thane,Thane,Maharashtra,West,400606,Type A PL
Langford,Bangalore,Bangalore Urban,Karnataka,South,560027,Type A PL
Berhampur Branch,Berhampur,Ganjam,Orissa,East,760002,Type A PL
Pathankot,Pathankot,Gurdaspur,Punjab,North,145110,Type B PL
Bhavnagar,Bhavnagar,Bhavnagar,Gujarat,West,364002,Type A PL
"G.T. Road, Jalandhar",Jalandhar,Jalandhar,Punjab,North,144001,Type A PL
Mathura,Mathura,Mathura,Uttar Pradesh,North,281004,Type A PL
Porur,Porur,Thiruvallur,Tamil Nadu,South,600116,Type A PL
"Nelson, Chennai",Chennai ,Chennai,Tamil Nadu,South,600029,Type A PL
Kadavanthara,Kochi,Ernakulam,Kerala,South,682016,Type A PL
"Kilpauk, Chennai",Chennai ,Chennai,Tamil Nadu,South,600010,Type A PL
Kurnool,Kurnool,Kurnool,Andhra Pradesh,South,518001,Negative Location
Kakinada,Kakinada,East Godavari,Andhra Pradesh,South,533001,Type A PL
Goregaon,Mumbai,Mumbai,Maharashtra,West,400063,Type A PL
Bilaspur,Bilaspur,Bilaspur,Chhattisgarh,East,495001,Type A PL
Bhopal ,Bhopal,Bhopal,Madhya Pradesh,West,462003,Type A PL
"Nayapalli, Bhubaneshwar",Bhubaneshwar,Khurda,Orissa,East,751015,Type A PL
Alwar,Alwar,Alwar,Rajasthan,North,301001,Type A PL
Jorbagh,New Delhi,Delhi,Delhi,North,110003,Type A PL
Yeshwantpur,Bangalore,Bangalore Urban,Karnataka,South,560022,Type A PL
Paschim Vihar,New Delhi,Delhi,Delhi,North,110063,Type A PL
Aluva,Aluva,Ernakulam,Kerala,South,683101,Type A PL
Faizabad,Faizabad,Faizabad,Uttar Pradesh,North,224001,Negative Location
Asansol,Asansol,Barddhaman,West Bengal,East,713303,Type A PL
"Lalpur, Ranchi",Ranchi,Ranchi,Jharkhand,East,834001,Type A PL
Sangrur,Sangrur,Sangrur,Punjab,North,148001,Type A PL
Shahibaug,Ahmedabad,Ahmedabad,Gujarat,West,380004,Type A PL
S. G. Highway,Ahmedabad,Ahmedabad,Gujarat,West,380054,Type A PL
Rajajinagar,Bangalore,Bangalore Urban,Karnataka,South,560010,Type A PL
Btm Layout,Bangalore,Bangalore Urban,Karnataka,South,560076,Type A PL
Kamanhalli,Bangalore,Bangalore Urban,Karnataka,South,560043,Type A PL
Jayanagar 9Th Block,Bangalore,Bangalore Urban,Karnataka,South,560069,Type A PL
"Madhav Club, Ujjain",Ujjain,Ujjain,Madhya Pradesh,West,456010,Type A PL
Shimoga,Shimoga,Shimoga,Karnataka,South,577201,Type A PL
Sonipat,Sonipat,Sonipat,Haryana,North,131001,Type A PL
"B R P Road, Vijaywada",Vijaywada,Krishna,Andhra Pradesh,South,520001,Type A PL
"Vanathalipuram, Hyderabad",Hyderabad,Rangareddy,Telangana,South,500070,Type A PL
Muzaffarpur,Muzaffarpur,Muzaffarpur,Bihar,East,842001,Type B PL
Kankarbaug,Patna,Patna,Bihar,East,800020,Type A PL
Junagad,Junagad,Junagadh,Gujarat,West,362001,Type A PL
Allahabad Chowk,Allahabad,Allahabad,Uttar Pradesh,North,211003,Type A PL
"Sigra, Varanasi",Varanasi,Varanasi,Uttar Pradesh,North,221010,Type A PL
Greater Kailash - 2,New Delhi,Delhi,Delhi,North,110048,Type A PL
"Gorky Terrace, Kolkata",Kolkata,Kolkata,West Bengal,East,700017,Type A PL
"Shantiniketan, New Delhi",New Delhi,Delhi,Delhi,North,110021,Type A PL
"Sushant Lok, Gurgaon",Gurgaon,Gurgaon,Haryana,North,122002,Type A PL
Raja Park,Jaipur,Jaipur,Rajasthan,North,302012,Type A PL
Naya Bazar ,New Delhi,Delhi,Delhi,North,110006,Type A PL
New Alipore ,Kolkata,Kolkata,West Bengal,East,700053,Type A PL
"Alam Bagh, Lucknow",Lucknow,Lucknow,Uttar Pradesh,North,226005,Type A PL
Gorakhpur,Gorakhpur,Gorakhpur,Uttar Pradesh,North,273001,Type B PL
Mahim,Mumbai,Mumbai,Maharashtra,West,400016,Type A PL
Chinchwad,Chinchwad,Pune,Maharashtra,West,411019,Type A PL
Safdurjung Enclaves,New Delhi,Delhi,Delhi,North,110029,Type A PL
Lower Parel,Mumbai,Mumbai,Maharashtra,West,400013,Type A PL
Marine Lines,Mumbai,Mumbai,Maharashtra,West,400002,Type A PL
Aliganj,Lucknow,Lucknow,Uttar Pradesh,North,226024,Type A PL
Govind Nagar,Kanpur,Kanpur Nagar,Uttar Pradesh,North,208006,Type A PL
Aligarh,Aligarh,Aligarh,Uttar Pradesh,North,202001,Type B PL
"Behala, Kolkata",Kolkata,Kolkata,West Bengal,East,700008,Type A PL
"Sai Nagar,Kanchipuram",Pattipulam,Kancheepuram,Tamil Nadu,South,603104,Type A PL
Karkardooma,New Delhi,Delhi,Delhi,North,110092,Type A PL
Ashok Vihar,New Delhi,Delhi,Delhi,North,110052,Type A PL
Patel Nagar,New Delhi,Delhi,Delhi,North,110008,Type A PL
Daryaganj,New Delhi,Delhi,Delhi,North,110002,Type A PL
Panvel,Panvel,Raigad,Maharashtra,West,410206,Type A PL
Naraina,New Delhi,Delhi,Delhi,North,110028,Type A PL
"Pazhaya Road, Trivandrum",Thiruvananthapuram,Thiruvananthapuram,Kerala,South,695011,Type A PL
Satara Road,Pune,Pune,Maharashtra,West,411009,Type A PL
Kothrud,Pune,Pune,Maharashtra,West,411052,Type A PL
Sangli,Sangli-Miraj-Kupwad,Sangli,Maharashtra,West,416416,Type A PL
Ratnagiri,Ratnagiri,Ratnagiri,Maharashtra,West,415612,Type B PL
Latur,Latur,Latur,Maharashtra,West,413512,Type A PL
"R.S. Puram, Coimbatore",Coimbatore,Coimbatore,Tamil Nadu,South,641002,Type A PL
K.G. Marg,New Delhi,Delhi,Delhi,North,110001,Type A PL
Vasna-Ahmedabad,Ahmedabad,Ahmedabad,Gujarat,West,380007,Type A PL
Sthapna Complex,Ahmedabad,Ahmedabad,Gujarat,West,380013,Type A PL
Chanakyapuri,New Delhi,Delhi,Delhi,North,110021,Type A PL
Del Pandarva,Del Pandarva,Hardoi,Uttar Pradesh,North,241407,Negative Location
"Bhadkamkar Marg, Opera House, ",Mumbai,Mumbai,Maharashtra,West,400004,Type A PL
Nsc Bose Road,Kolkata,Kolkata,West Bengal,East,700047,Type A PL
"L.B.Road, Adyar",Chennai ,Chennai,Tamil Nadu,South,600020,Type A PL
"Sadar Bazar, Agra.",Agra,Agra,Uttar Pradesh,North,282001,Type A PL
"M.G. Road,Shillong",Shillong,East Khasi Hills,Meghalaya,East,783001,Type B PL
" Korba, Chattisgarh.",Korba,Korba,Chhattisgarh,East,495677,Type B PL
"Gray'S Hill, Coonoor",Coonoor,Nilgiris,Tamil Nadu,South,643101,Type B PL
"Lake Town, Kolkata",Kolkata,Kolkata,West Bengal,East,700089,Type A PL
"Tardeo, Mumbai",Mumbai,Mumbai,Maharashtra,West,400034,Type A PL
"Hsr Layout, Bangalore",Bangalore,Bangalore Urban,Karnataka,South,560084,Type A PL
"Imt Manesar,Gurgaon",Gurgaon,Gurgaon,Haryana,North,122050,Type A PL
"Avenue Road, Bangalore",Bangalore,Bangalore Urban,Karnataka,South,560009,Type A PL
"Electronic City, Bangalore",Bangalore,Bangalore Urban,Karnataka,South,560100,Type A PL
Bopal,Bopal,Ahmedabad,Gujarat,West,380058,Type A PL
"Manimajra, Chandigarh",Chandigarh,Chandigarh,Chandigarh,North,160101,Type A PL
" Sundar Nagar, Ludhiana",Ludhiana,Ludhiana,Punjab,North,141008,Type A PL
" Rajinder Nagar, Delhi",New Delhi,Delhi,Delhi,North,110060,Type A PL
"Ram Nagar, Visakhapatnam",Visakhapatnam,Visakhapatnam,Andhra Pradesh,South,530002,Type A PL
"Juhu , Mumbai.",Mumbai,Mumbai,Maharashtra,West,400049,Type A PL
" Rohini, New Delhi",New Delhi,Delhi,Delhi,North,100085,Type A PL
"Delhi Road, Meerut ",Meerut,Meerut,Uttar Pradesh,North,250002,Type A PL
"Shalimar Bagh, New Delhi.",New Delhi,Delhi,Delhi,North,110088,Type A PL
" Nallakunta, Hyderabad",Hyderabad,Hyderabad,Telangana,South,500044,Type A PL
"Vip Road, Kolkata",Kolkata,Kolkata,West Bengal,East,700059,Type A PL
"Sarat Bose Road, Kolkata",Kolkata,Kolkata,West Bengal,East,700026,Type A PL
"Jalgaon, Maharashtra 
",Jalgaon,Jalgaon,Maharashtra,West,425001,Type A PL
"Nariman Bhavan, Mumbai",Mumbai,Mumbai,Maharashtra,West,400021,Type A PL
"J.P. Road, Andheri",Mumbai,Mumbai,Maharashtra,West,400058,Type A PL
"C1/4, Janakpuri, New Delhi",New Delhi,Delhi,Delhi,North,110058,Type A PL
Ahmadnagar,Ahmadnagar,Ahmadnagar,Maharashtra,West,414001,Type A PL
"Patan ,Gujarat ",Patan,Patan,Gujarat,West,324265,Type B PL
" Sarafa Bazar, Itarsi",Itarsi,Hoshangabad,Madhya Pradesh,West,461111,Type B PL
"Banjara Hills, 
Hyderabad ",Hyderabad,Hyderabad,Telangana,South,500034,Type A PL
"Chembur, Mumbai",Mumbai,Mumbai,Maharashtra,West,400074,Type A PL
"Velachery, Chennai ",Chennai ,Chennai,Tamil Nadu,South,600042,Type A PL
"Ito, New Delhi",New Delhi,Delhi,Delhi,North,110002,Type A PL
"Kamla Nagar, 
New Delhi ",New Delhi,Delhi,Delhi,North,110007,Type A PL
" Malad ,Mumbai  ",Mumbai,Mumbai,Maharashtra,West,400064,Type A PL
"Kowdiar, Trivandrum",Thiruvananthapuram,Thiruvananthapuram,Kerala,South,695010,Type A PL
"Ratlam, Madhya Pradesh.",Ratlam,Ratlam,Madhya Pradesh,West,457001,Type A PL
Hazira,Hazira,Surat,Gujarat,West,395510,Type A PL
"Alipore,Kolkata",Kolkata,Kolkata,West Bengal,East,700027,Type A PL
Backbay,Mumbai,Mumbai,Maharashtra,West,400028,Type A PL
Anna Nagar ,Chennai ,Chennai,Tamil Nadu,South,600101,Type A PL
South Extension,New Delhi,Delhi,Delhi,North,110024,Type A PL
Chengalpet,Chengalpet,Kancheepuram,Tamil Nadu,South,603001,Type A PL
" Suncity,Gurgaon",Gurgaon,Gurgaon,Haryana,North,122002,Type A PL
"Sundernagar,  New Delhi",New Delhi,Delhi,Delhi,North,110003,Type A PL
J P Nagar,Bangalore,Bangalore Urban,Karnataka,South,560078,Type A PL
"Gt Road,Khanna ",Khanna,Ludhiana,Punjab,North,141401,Type B PL
"Infosys Tech. Ltd., Chandigarh",Chandigarh,Chandigarh,Chandigarh,North,160101,Type A PL
"S K Puri, Patna, 
",Patna,Patna,Bihar,East,800001,Type A PL
Chandannagar,Chandannagar,Hugli,West Bengal,East,712136,Type A PL
"Napeansea Road,Mumbai",Mumbai,Mumbai,Maharashtra,West,400006,Type A PL
Srinagar,"Srinagar, Jammu & Kashmir",Srinagar,Jammu & Kashmir,North,190001,Type B PL
"Nerul (E), 
Navi Mumbai ",Navi Mumbai,Thane,Maharashtra,West,400706,Type A PL
"Gachibowli, Madhapur",Hyderabad,Hyderabad,Telangana,South,500019,Type A PL
Nampally,Hyderabad,Hyderabad,Telangana,South,500001,Type A PL
"Yelahanka New Town, 
Bangalore ",Bangalore,Bangalore Urban,Karnataka,South,560064,Type A PL
Versova,Mumbai,Mumbai,Maharashtra,West,400057,Type A PL
"Model Town, Ludhiana",Ludhiana,Ludhiana,Punjab,North,141001,Type A PL
Worli,Mumbai,Mumbai,Maharashtra,West,400018,Type A PL
Fort,Mumbai,Mumbai,Maharashtra,West,400001,Type A PL
Hughes Road,Mumbai,Mumbai,Maharashtra,West,400007,Type A PL
Borivali (E),Mumbai,Mumbai,Maharashtra,West,400066,Type A PL
"Vashi, Navi Mumbai",Navi Mumbai,Thane,Maharashtra,West,400703,Type A PL
Ghatkopar (W),Mumbai,Mumbai,Maharashtra,West,400086,Type A PL
"Kalyani, Nadia",Kalyani,Nadia,West Bengal,East,741235,Type A PL
Silvassa ,Silvassa,Dadra&Nagar Haveli,Dadra And Nagar Haveli,West,396230,Type B PL
Azadpur Mandi,New Delhi,Delhi,Delhi,North,110033,Type A PL
"Senapati Bapat Road, Pune ",Pune,Pune,Maharashtra,West,411016,Type A PL
